"company_name","fiscal_year","total_assets","prior_assets","asset_growth_pct"
Agnico Eagle Mines Limited,2016,7107951000.0,,
Agnico Eagle Mines Limited,2017,7865601000.0,7107951000.0,10.66
Agnico Eagle Mines Limited,2018,7852843000.0,7865601000.0,-0.16
Agnico Eagle Mines Limited,2019,8789885000.0,7852843000.0,11.93
Agnico Eagle Mines Limited,2020,9614755000.0,8789885000.0,9.38
Agnico Eagle Mines Limited,2021,10216090000.0,9614755000.0,6.25
Agnico Eagle Mines Limited,2022,23494808000.0,10216090000.0,129.98
Agnico Eagle Mines Limited,2023,28684949000.0,23494808000.0,22.09
Agnico Eagle Mines Limited,2024,29987018000.0,28684949000.0,4.54
Agnico Eagle Mines Limited,2025,34471291000.0,29987018000.0,14.95
Bank of Montreal,2017,709580000000.0,,
Bank of Montreal,2018,773293000000.0,709580000000.0,8.98
Bank of Montreal,2019,852195000000.0,773293000000.0,10.20
Bank of Montreal,2020,949261000000.0,852195000000.0,11.39
Bank of Montreal,2021,988175000000.0,949261000000.0,4.10
Bank of Montreal,2022,1139199000000.0,988175000000.0,15.28
Bank of Montreal,2023,1347006000000.0,1139199000000.0,18.24
Bank of Montreal,2024,1409647000000.0,1347006000000.0,4.65
Bank of Montreal,2025,1476802000000.0,1409647000000.0,4.76
Bank of Nova Scotia,2017,915273000000.0,,
Bank of Nova Scotia,2018,998493000000.0,915273000000.0,9.09
Bank of Nova Scotia,2019,1086161000000.0,998493000000.0,8.78
Bank of Nova Scotia,2020,1136466000000.0,1086161000000.0,4.63
Bank of Nova Scotia,2021,1184844000000.0,1136466000000.0,4.26
Bank of Nova Scotia,2022,1349418000000.0,1184844000000.0,13.89
Bank of Nova Scotia,2023,1411043000000.0,1349418000000.0,4.57
Bank of Nova Scotia,2024,1412027000000.0,1411043000000.0,0.07
Bank of Nova Scotia,2025,1460042000000.0,1412027000000.0,3.40
Barrick Gold Corporation,2009,27683000000.0,,
Barrick Gold Corporation,2010,32241000000.0,27683000000.0,16.46
Barrick Gold Corporation,2011,35838000000.0,32241000000.0,11.16
