"company_name","fiscal_year","operating_cash_flow","investing_cash_flow","financing_cash_flow","free_cash_flow"
Royal Bank of Canada,2017,37725000000,,,
Royal Bank of Canada,2018,17474000000,,,
Royal Bank of Canada,2019,14265000000,,,
Royal Bank of Canada,2020,138819000000,,,
Royal Bank of Canada,2021,61044000000,,,
Royal Bank of Canada,2022,21942000000,,,
Royal Bank of Canada,2023,26079000000,,,
Royal Bank of Canada,2024,23139000000,,,
Royal Bank of Canada,2025,55220000000,,,
Toronto-Dominion Bank,2016,37401000000,,,
Toronto-Dominion Bank,2017,26127000000,,,
Toronto-Dominion Bank,2018,5693000000,,,
Toronto-Dominion Bank,2019,830000000,,,
Toronto-Dominion Bank,2020,229607000000,,,
Toronto-Dominion Bank,2021,50129000000,,,
Toronto-Dominion Bank,2022,38949000000,,,
Toronto-Dominion Bank,2023,-65302000000,,,
Toronto-Dominion Bank,2024,54937000000,,,
Toronto-Dominion Bank,2025,-69646000000,,,
Bank of Montreal,2016,-2728000000,,,
Bank of Montreal,2017,2908000000,,,
Bank of Montreal,2018,17912000000,,,
Bank of Montreal,2019,29303000000,,,
Bank of Montreal,2020,50836000000,,,
Bank of Montreal,2021,44049000000,,,
Bank of Montreal,2022,4957000000,,,
Bank of Montreal,2023,9591000000,,,
Bank of Montreal,2024,26703000000,,,
Bank of Montreal,2025,10240000000,,,
Enbridge Inc.,2010,1877000000,,,
Enbridge Inc.,2011,3371000000,,,
Enbridge Inc.,2012,2874000000,,,
Enbridge Inc.,2013,3341000000,,,
Enbridge Inc.,2014,2547000000,,,
Enbridge Inc.,2015,4571000000,,,
Enbridge Inc.,2016,5205000000,,,
Enbridge Inc.,2017,6658000000,,,
Enbridge Inc.,2018,10502000000,,,
Enbridge Inc.,2019,9398000000,,,
Enbridge Inc.,2020,9781000000,,,
Enbridge Inc.,2021,9256000000,,,
Enbridge Inc.,2022,11230000000,,,
Enbridge Inc.,2023,14201000000,,,
Enbridge Inc.,2024,12600000000,,,
Enbridge Inc.,2025,12270000000,,,
Suncor Energy Inc.,2010,43797000,,,
Suncor Energy Inc.,2011,28480000,,,
Suncor Energy Inc.,2012,36652000,,,
Suncor Energy Inc.,2013,58643000,,,
Suncor Energy Inc.,2014,52861000,,,
Suncor Energy Inc.,2015,17261000,,,
Suncor Energy Inc.,2016,79564000,,,
Suncor Energy Inc.,2017,-13728000,,,
