"company_name","fiscal_year","revenue","gross_profit","operating_income","net_income","gross_margin_pct","operating_margin_pct","net_margin_pct"
Royal Bank of Canada,2017,40669000000,,,11469000000.0,,,28.20
Royal Bank of Canada,2018,42576000000,,,12431000000.0,,,29.20
Royal Bank of Canada,2019,46002000000,,,12871000000.0,,,27.98
Royal Bank of Canada,2020,47181000000,,,11437000000.0,,,24.24
Royal Bank of Canada,2021,49693000000,,,16050000000.0,,,32.30
Royal Bank of Canada,2022,48985000000,,,15807000000.0,,,32.27
Royal Bank of Canada,2023,51464000000,,,14612000000.0,,,28.39
Royal Bank of Canada,2024,57344000000,,,16240000000.0,,,28.32
Royal Bank of Canada,2025,66605000000,,,20369000000.0,,,30.58
Toronto-Dominion Bank,2016,34315000000,,,8936000000.0,,,26.04
Toronto-Dominion Bank,2017,36202000000,,,10517000000.0,,,29.05
Toronto-Dominion Bank,2018,38892000000,,,11334000000.0,,,29.14
Toronto-Dominion Bank,2019,41065000000,,,11686000000.0,,,28.46
Toronto-Dominion Bank,2020,43646000000,,,11895000000.0,,,27.25
Toronto-Dominion Bank,2021,42693000000,,,14298000000.0,,,33.49
Toronto-Dominion Bank,2022,49032000000,,,17429000000.0,,,35.55
Toronto-Dominion Bank,2023,50690000000,,,10634000000.0,,,20.98
Toronto-Dominion Bank,2024,57223000000,,,8842000000.0,,,15.45
Toronto-Dominion Bank,2025,67777000000,,,20538000000.0,,,30.30
Bank of Montreal,2016,21087000000,,,4631000000.0,,,21.96
Bank of Montreal,2017,22107000000,,,5339000000.0,,,24.15
Bank of Montreal,2018,22905000000,,,5453000000.0,,,23.81
Bank of Montreal,2019,25483000000,,,5758000000.0,,,22.60
Bank of Montreal,2020,25186000000,,,5097000000.0,,,20.24
Bank of Montreal,2021,27186000000,,,7754000000.0,,,28.52
Bank of Montreal,2022,33710000000,,,13537000000.0,,,40.16
Bank of Montreal,2023,29259000000,,,4437000000.0,,,15.16
Bank of Montreal,2024,32795000000,,,7327000000.0,,,22.34
Bank of Montreal,2025,36274000000,,,8725000000.0,,,24.05
Enbridge Inc.,2010,21520000000,,1327000000,781000000.0,,6.17,3.63
Enbridge Inc.,2011,26789000000,,2591000000,1221000000.0,,9.67,4.56
Enbridge Inc.,2012,24660000000,,1594000000,936000000.0,,6.46,3.80
Enbridge Inc.,2013,32918000000,,1365000000,494000000.0,,4.15,1.50
Enbridge Inc.,2014,37641000000,,3200000000,1608000000.0,,8.50,4.27
Enbridge Inc.,2015,33794000000,,1862000000,-159000000.0,,5.51,-0.47
Enbridge Inc.,2016,8795000000,,1674000000,2309000000.0,,19.03,26.25
Enbridge Inc.,2017,9227000000,,1490000000,3266000000.0,,16.15,35.40
Enbridge Inc.,2018,11345000000,,854000000,3333000000.0,,7.53,29.38
Enbridge Inc.,2019,11598000000,,1588000000,5827000000.0,,13.69,50.24
Enbridge Inc.,2020,12013000000,,1513000000,3416000000.0,,12.59,28.44
Enbridge Inc.,2021,12187000000,,2548000000,814000000.0,,20.91,6.68
Enbridge Inc.,2022,11573000000,,1778000000,1383000000.0,,15.36,11.95
Enbridge Inc.,2023,12075000000,,2662000000,2001000000.0,,22.05,16.57
Enbridge Inc.,2024,11038000000,,2711000000,1447000000.0,,24.56,13.11
Enbridge Inc.,2025,18502000000,,3672000000,2321000000.0,,19.85,12.54
TC Energy Corporation,2016,12547000000.0,,2313000000.0,485000000.0,,18.43,3.87
TC Energy Corporation,2017,13449000000.0,,4684000000.0,3395000000.0,,34.83,25.24
TC Energy Corporation,2018,13679000000.0,,5764000000.0,3517000000.0,,42.14,25.71
TC Energy Corporation,2019,13255000000.0,,6585000000.0,4433000000.0,,49.68,33.44
TC Energy Corporation,2020,12999000000.0,,6773000000.0,4913000000.0,,52.10,37.80
TC Energy Corporation,2021,13387000000.0,,4059000000.0,2046000000.0,,30.32,15.28
