ticker,company_name,sector,industry,country,exchange,cik
RY,Royal Bank of Canada,Banking,Banks,Canada,TSX,
TD,Toronto-Dominion Bank,Banking,Banks,Canada,TSX,
BMO,Bank of Montreal,Banking,Banks,Canada,TSX,
ENB,Enbridge Inc.,Energy,Oil & Gas Infrastructure,Canada,TSX,
SU,Suncor Energy Inc.,Energy,Oil & Gas,Canada,TSX,
TRP,TC Energy Corporation,Energy,Energy Infrastructure,Canada,TSX,
BCE,BCE Inc.,Telecommunications,Telecom,Canada,TSX,
T,TELUS Corporation,Telecommunications,Telecom,Canada,TSX,
CNR,Canadian National Railway,Industrials,Rail Transportation,Canada,TSX,
CP,Canadian Pacific Kansas City,Industrials,Rail Transportation,Canada,TSX,
SHOP,Shopify Inc.,Technology,E-Commerce,Canada,TSX,
CSU,Constellation Software Inc.,Technology,Software,Canada,TSX,
ABX,Barrick Gold Corporation,Mining,Gold Mining,Canada,TSX,
TECK,Teck Resources Limited,Mining,Mining,Canada,TSX,
FTS,Fortis Inc.,Utilities,Electric Utilities,Canada,TSX,
H,Hydro One Limited,Utilities,Electric Utilities,Canada,TSX,
L,Loblaw Companies Limited,Consumer,Food Retail,Canada,TSX,
WN,George Weston Limited,Consumer,Consumer Holding,Canada,TSX,
DOL,Dollarama Inc.,Consumer,Retail,Canada,TSX,
CNQ,Canadian Natural Resources Limited,Energy,Oil & Gas,Canada,TSX,
