company_id,fiscal_year,total_assets,total_liabilities,shareholders_equity,total_debt,cash,currency
1,2016,,,,,14929000000.0,CAD
1,2017,1212853000000.0,1138425000000.0,,,28407000000.0,CAD
1,2018,1334734000000.0,1254779000000.0,,,30209000000.0,CAD
1,2019,1428935000000.0,1345310000000.0,,,26310000000.0,CAD
1,2020,1624548000000.0,1537781000000.0,,,118888000000.0,CAD
1,2021,1706323000000.0,1607561000000.0,,,113846000000.0,CAD
1,2022,1917219000000.0,1809044000000.0,,,72397000000.0,CAD
1,2023,2006531000000.0,1891384000000.0,,,61989000000.0,CAD
1,2024,2171582000000.0,2044390000000.0,,,56723000000.0,CAD
1,2025,2325006000000.0,2185855000000.0,,,37024000000.0,CAD
2,2015,,,,,3154000000.0,CAD
2,2016,1176967000000.0,,,,3907000000.0,CAD
2,2017,1278995000000.0,1203805000000.0,,,3971000000.0,CAD
2,2018,1334903000000.0,1254863000000.0,,,4735000000.0,CAD
2,2019,1415290000000.0,1327589000000.0,,,4863000000.0,CAD
2,2020,1715865000000.0,1620366000000.0,,,6445000000.0,CAD
2,2021,1728672000000.0,1628854000000.0,,,5931000000.0,CAD
2,2022,1917528000000.0,1806145000000.0,,,8556000000.0,CAD
2,2023,1955139000000.0,1843068000000.0,,,6721000000.0,CAD
2,2024,2061751000000.0,1946591000000.0,,,6437000000.0,CAD
2,2025,2094558000000.0,1966731000000.0,,,7512000000.0,CAD
3,2015,,,,,40295000000.0,CAD
3,2016,,,,,31653000000.0,CAD
3,2017,709580000000.0,,,,32599000000.0,CAD
3,2018,773293000000.0,,,,42142000000.0,CAD
3,2019,852195000000.0,,,,48803000000.0,CAD
3,2020,949261000000.0,892668000000.0,,,57408000000.0,CAD
3,2021,988175000000.0,930652000000.0,,,93261000000.0,CAD
3,2022,1139199000000.0,1068161000000.0,,,87466000000.0,CAD
3,2023,1347006000000.0,1270883000000.0,,,77934000000.0,CAD
3,2024,1409647000000.0,1325361000000.0,,,65098000000.0,CAD
3,2025,1476802000000.0,1388702000000.0,,,67484000000.0,CAD
4,2009,,,,,456000000.0,CAD
4,2010,,,,,376000000.0,CAD
4,2011,41494000000.0,30239000000.0,,,723000000.0,CAD
4,2012,46800000000.0,32296000000.0,,,1776000000.0,CAD
4,2013,57568000000.0,39005000000.0,,,756000000.0,CAD
4,2014,72857000000.0,51807000000.0,,,799000000.0,CAD
4,2015,84515000000.0,62176000000.0,,,654000000.0,CAD
4,2016,85209000000.0,59854000000.0,,,1494000000.0,CAD
4,2017,162093000000.0,92294000000.0,,,480000000.0,CAD
4,2018,166905000000.0,93470000000.0,,,518000000.0,CAD
4,2019,163157000000.0,93750000000.0,,,648000000.0,CAD
4,2020,160276000000.0,95913000000.0,,,452000000.0,CAD
4,2021,168864000000.0,105496000000.0,,,286000000.0,CAD
4,2022,179608000000.0,116210000000.0,,,861000000.0,CAD
4,2023,180317000000.0,115834000000.0,,,5901000000.0,CAD
4,2024,218973000000.0,150080000000.0,,,1803000000.0,CAD
