company_id,fiscal_year,operating_cash_flow,investing_cash_flow,financing_cash_flow,free_cash_flow,currency
1,2017,37725000000,,,,CAD
1,2018,17474000000,,,,CAD
1,2019,14265000000,,,,CAD
1,2020,138819000000,,,,CAD
1,2021,61044000000,,,,CAD
1,2022,21942000000,,,,CAD
1,2023,26079000000,,,,CAD
1,2024,23139000000,,,,CAD
1,2025,55220000000,,,,CAD
2,2016,37401000000,,,,CAD
2,2017,26127000000,,,,CAD
2,2018,5693000000,,,,CAD
2,2019,830000000,,,,CAD
2,2020,229607000000,,,,CAD
2,2021,50129000000,,,,CAD
2,2022,38949000000,,,,CAD
2,2023,-65302000000,,,,CAD
2,2024,54937000000,,,,CAD
2,2025,-69646000000,,,,CAD
3,2016,-2728000000,,,,CAD
3,2017,2908000000,,,,CAD
3,2018,17912000000,,,,CAD
3,2019,29303000000,,,,CAD
3,2020,50836000000,,,,CAD
3,2021,44049000000,,,,CAD
3,2022,4957000000,,,,CAD
3,2023,9591000000,,,,CAD
3,2024,26703000000,,,,CAD
3,2025,10240000000,,,,CAD
4,2010,1877000000,,,,CAD
4,2011,3371000000,,,,CAD
4,2012,2874000000,,,,CAD
4,2013,3341000000,,,,CAD
4,2014,2547000000,,,,CAD
4,2015,4571000000,,,,CAD
4,2016,5205000000,,,,CAD
4,2017,6658000000,,,,CAD
4,2018,10502000000,,,,CAD
4,2019,9398000000,,,,CAD
4,2020,9781000000,,,,CAD
4,2021,9256000000,,,,CAD
4,2022,11230000000,,,,CAD
4,2023,14201000000,,,,CAD
4,2024,12600000000,,,,CAD
4,2025,12270000000,,,,CAD
5,2010,43797000,,,,CAD
5,2011,28480000,,,,CAD
5,2012,36652000,,,,CAD
5,2013,58643000,,,,CAD
5,2014,52861000,,,,CAD
5,2015,17261000,,,,CAD
5,2016,79564000,,,,CAD
5,2017,-13728000,,,,CAD
5,2018,41859000,,,,CAD
5,2019,58836000,,,,CAD
5,2020,52764000,,,,CAD
5,2021,-35453000,,,,CAD
5,2022,-57935000,,,,CAD
5,2023,-10986000,,,,CAD
5,2024,22767000,,,,CAD
5,2025,-11348000,,,,CAD
6,2012,3571000000,,,,CAD
6,2013,3674000000,,,,CAD
6,2014,4226000000,,,,CAD
6,2015,4384000000,,,,CAD
6,2016,5069000000,,,,CAD
6,2017,5230000000,,,,CAD
6,2018,6555000000,,,,CAD
6,2019,7082000000,,,,CAD
6,2020,7058000000,,,,CAD
6,2021,6890000000,,,,CAD
6,2022,6375000000,,,,CAD
6,2023,7268000000,,,,CAD
6,2024,7696000000,,,,CAD
6,2025,7346000000,,,,CAD
10,2009,451000000,,,,CAD
10,2010,502000000,,,,CAD
10,2011,512000000,,,,CAD
10,2012,1328000000,,,,CAD
10,2013,1950000000,,,,CAD
10,2014,2123000000,,,,CAD
10,2015,2459000000,,,,CAD
10,2016,2089000000,,,,CAD
10,2017,2182000000,,,,CAD
10,2018,2712000000,,,,CAD
10,2019,2990000000,,,,CAD
10,2020,2802000000,,,,CAD
10,2021,3688000000,,,,CAD
10,2022,4142000000,,,,CAD
10,2023,4137000000,,,,CAD
10,2024,5269000000,,,,CAD
10,2025,5309000000,,,,CAD
11,2015,15756000,,,,CAD
11,2016,14017000,,,,CAD
11,2017,7901000,,,,CAD
11,2018,9324000,,,,CAD
11,2019,70615000,,,,CAD
11,2020,424958000,,,,CAD
11,2021,535711000,,,,CAD
11,2022,-136000000,,,,CAD
11,2023,944000000,,,,CAD
11,2024,1616000000,,,,CAD
11,2025,2033000000,,,,CAD
13,2008,973000000,,,,CAD
13,2009,915000000,,,,CAD
13,2010,864000000,,,,CAD
13,2011,667000000,,,,CAD
13,2012,817000000,,,,CAD
13,2013,760000000,,,,CAD
13,2014,1231000000,,,,CAD
13,2015,1353000000,,,,CAD
13,2016,1150000000,,,,CAD
13,2017,1804000000,,,,CAD
13,2018,2083000000,,,,CAD
13,2019,2456000000,,,,CAD
13,2020,2183000000,,,,CAD
13,2021,1714000000,,,,CAD
13,2022,1153000000,,,,CAD
13,2023,1970000000,,,,CAD
13,2024,1152000000,,,,CAD
13,2025,1533000000,,,,CAD
14,2009,37257000,,,,CAD
14,2010,124136000,,,,CAD
14,2011,86424000,,,,CAD
14,2012,134899000,,,,CAD
14,2013,79636000,,,,CAD
14,2014,137618000,,,,CAD
14,2015,134756000,,,,CAD
14,2016,145847000,,,,CAD
14,2017,128525000,,,,CAD
14,2018,237201000,,,,CAD
14,2019,204747000,,,,CAD
14,2020,192292000,,,,CAD
14,2021,662723000,,,,CAD
14,2022,1065029000,,,,CAD
14,2023,670000000,,,,CAD
14,2024,659000000,,,,CAD
14,2025,746000000,,,,CAD
15,2016,803800000,,,,CAD
15,2017,912700000,,,,CAD
15,2018,1497800000,,,,CAD
15,2019,1749000000,,,,CAD
15,2020,1753800000,,,,CAD
15,2021,1351700000,,,,CAD
15,2022,1801900000,,,,CAD
15,2023,1980200000,,,,CAD
15,2024,1983700000,,,,CAD
15,2025,2045200000,,,,CAD
16,2018,2341700000,,,,CAD
16,2019,1803700000,,,,CAD
16,2020,1231800000,,,,CAD
16,2021,3016900000,,,,CAD
16,2022,2999000000,,,,CAD
16,2023,2900000000,,,,CAD
16,2024,2302900000,,,,CAD
16,2025,2315900000,,,,CAD
17,2009,403100000,,,,CAD
17,2010,581000000,,,,CAD
17,2011,518700000,,,,CAD
17,2012,686500000,,,,CAD
17,2013,678300000,,,,CAD
17,2014,794100000,,,,CAD
17,2015,942800000,,,,CAD
17,2016,802500000,,,,CAD
17,2017,1673300000,,,,CAD
17,2018,1510200000,,,,CAD
17,2019,1766000000,,,,CAD
17,2020,1869800000,,,,CAD
17,2021,2716300000,,,,CAD
17,2022,1431500000,,,,CAD
17,2023,1614800000,,,,CAD
17,2024,2684500000,,,,CAD
18,2008,113473000,,,,CAD
18,2009,88287000,,,,CAD
18,2010,152799000,,,,CAD
18,2011,61452000,,,,CAD
18,2012,173343000,,,,CAD
18,2013,150269000,,,,CAD
18,2016,281731000,,,,CAD
18,2017,306520000,,,,CAD
18,2018,170557000,,,,CAD
18,2019,335771000,,,,CAD
18,2020,534379000,,,,CAD
18,2021,349566000,,,,CAD
18,2022,571964000,,,,CAD
18,2023,561954000,,,,CAD
18,2024,773102000,,,,CAD
18,2025,569613000,,,,CAD
20,2010,-312930,,,,CAD
20,2011,-523111,,,,CAD
