company_id,fiscal_year,revenue,gross_profit,operating_income,net_income,currency
1,2017,40669000000,,,11469000000.0,CAD
1,2018,42576000000,,,12431000000.0,CAD
1,2019,46002000000,,,12871000000.0,CAD
1,2020,47181000000,,,11437000000.0,CAD
1,2021,49693000000,,,16050000000.0,CAD
1,2022,48985000000,,,15807000000.0,CAD
1,2023,51464000000,,,14612000000.0,CAD
1,2024,57344000000,,,16240000000.0,CAD
1,2025,66605000000,,,20369000000.0,CAD
2,2016,34315000000,,,8936000000.0,CAD
2,2017,36202000000,,,10517000000.0,CAD
2,2018,38892000000,,,11334000000.0,CAD
2,2019,41065000000,,,11686000000.0,CAD
2,2020,43646000000,,,11895000000.0,CAD
2,2021,42693000000,,,14298000000.0,CAD
2,2022,49032000000,,,17429000000.0,CAD
2,2023,50690000000,,,10634000000.0,CAD
2,2024,57223000000,,,8842000000.0,CAD
2,2025,67777000000,,,20538000000.0,CAD
3,2016,21087000000,,,4631000000.0,CAD
3,2017,22107000000,,,5339000000.0,CAD
3,2018,22905000000,,,5453000000.0,CAD
3,2019,25483000000,,,5758000000.0,CAD
3,2020,25186000000,,,5097000000.0,CAD
3,2021,27186000000,,,7754000000.0,CAD
3,2022,33710000000,,,13537000000.0,CAD
3,2023,29259000000,,,4437000000.0,CAD
3,2024,32795000000,,,7327000000.0,CAD
3,2025,36274000000,,,8725000000.0,CAD
4,2010,21520000000,,1327000000,781000000.0,CAD
4,2011,26789000000,,2591000000,1221000000.0,CAD
4,2012,24660000000,,1594000000,936000000.0,CAD
4,2013,32918000000,,1365000000,494000000.0,CAD
4,2014,37641000000,,3200000000,1608000000.0,CAD
4,2015,33794000000,,1862000000,-159000000.0,CAD
4,2016,8795000000,,1674000000,2309000000.0,CAD
4,2017,9227000000,,1490000000,3266000000.0,CAD
4,2018,11345000000,,854000000,3333000000.0,CAD
4,2019,11598000000,,1588000000,5827000000.0,CAD
4,2020,12013000000,,1513000000,3416000000.0,CAD
4,2021,12187000000,,2548000000,814000000.0,CAD
4,2022,11573000000,,1778000000,1383000000.0,CAD
4,2023,12075000000,,2662000000,2001000000.0,CAD
4,2024,11038000000,,2711000000,1447000000.0,CAD
4,2025,18502000000,,3672000000,2321000000.0,CAD
5,2010,,136005000.0,24777000.0,12275000.0,CAD
5,2011,,157143000.0,17080000.0,26624000.0,CAD
5,2012,,195051000.0,3456000.0,33068000.0,CAD
5,2013,,212965000.0,609000.0,32714000.0,CAD
5,2014,,221916000.0,28674000.0,30149000.0,CAD
5,2015,,257993000.0,2926000.0,40497000.0,CAD
5,2016,,328552000.0,14008000.0,-12676000.0,CAD
5,2017,,68941000.0,-94116000.0,-104161000.0,CAD
5,2018,,70139000.0,-19694000.0,,CAD
5,2019,,83035000.0,-1840000.0,,CAD
5,2020,,63705000.0,2297000.0,,CAD
5,2021,,177696000.0,-126882000.0,,CAD
5,2022,,201611000.0,-39802000.0,,CAD
5,2023,,211154000.0,-13276000.0,,CAD
5,2024,,223150000.0,10136000.0,,CAD
5,2025,,231708000.0,14071000.0,,CAD
6,2010,,,2387000000.0,1393000000.0,CAD
6,2011,,,3167000000.0,1710000000.0,CAD
6,2012,,,2829000000.0,1472000000.0,CAD
6,2013,,,3473000000.0,1911000000.0,CAD
6,2014,,,3931000000.0,1993000000.0,CAD
6,2015,,,101000000.0,-1140000000.0,CAD
6,2016,12547000000.0,,2313000000.0,485000000.0,CAD
6,2017,13449000000.0,,4684000000.0,3395000000.0,CAD
6,2018,13679000000.0,,5764000000.0,3517000000.0,CAD
