"company_name","fiscal_year","total_assets","total_liabilities","shareholders_equity","total_debt","liabilities_to_assets","debt_to_assets","debt_to_equity"
Royal Bank of Canada,2017,1212853000000.0,1138425000000.0,,,0.9386,,
Royal Bank of Canada,2018,1334734000000.0,1254779000000.0,,,0.9401,,
Royal Bank of Canada,2019,1428935000000.0,1345310000000.0,,,0.9415,,
Royal Bank of Canada,2020,1624548000000.0,1537781000000.0,,,0.9466,,
Royal Bank of Canada,2021,1706323000000.0,1607561000000.0,,,0.9421,,
Royal Bank of Canada,2022,1917219000000.0,1809044000000.0,,,0.9436,,
Royal Bank of Canada,2023,2006531000000.0,1891384000000.0,,,0.9426,,
Royal Bank of Canada,2024,2171582000000.0,2044390000000.0,,,0.9414,,
Royal Bank of Canada,2025,2325006000000.0,2185855000000.0,,,0.9402,,
Toronto-Dominion Bank,2016,1176967000000.0,,,,,,
Toronto-Dominion Bank,2017,1278995000000.0,1203805000000.0,,,0.9412,,
Toronto-Dominion Bank,2018,1334903000000.0,1254863000000.0,,,0.9400,,
Toronto-Dominion Bank,2019,1415290000000.0,1327589000000.0,,,0.9380,,
Toronto-Dominion Bank,2020,1715865000000.0,1620366000000.0,,,0.9443,,
Toronto-Dominion Bank,2021,1728672000000.0,1628854000000.0,,,0.9423,,
Toronto-Dominion Bank,2022,1917528000000.0,1806145000000.0,,,0.9419,,
Toronto-Dominion Bank,2023,1955139000000.0,1843068000000.0,,,0.9427,,
Toronto-Dominion Bank,2024,2061751000000.0,1946591000000.0,,,0.9441,,
Toronto-Dominion Bank,2025,2094558000000.0,1966731000000.0,,,0.9390,,
Bank of Montreal,2017,709580000000.0,,,,,,
Bank of Montreal,2018,773293000000.0,,,,,,
Bank of Montreal,2019,852195000000.0,,,,,,
Bank of Montreal,2020,949261000000.0,892668000000.0,,,0.9404,,
Bank of Montreal,2021,988175000000.0,930652000000.0,,,0.9418,,
Bank of Montreal,2022,1139199000000.0,1068161000000.0,,,0.9376,,
Bank of Montreal,2023,1347006000000.0,1270883000000.0,,,0.9435,,
Bank of Montreal,2024,1409647000000.0,1325361000000.0,,,0.9402,,
Bank of Montreal,2025,1476802000000.0,1388702000000.0,,,0.9403,,
Enbridge Inc.,2011,41494000000.0,30239000000.0,,,0.7288,,
Enbridge Inc.,2012,46800000000.0,32296000000.0,,,0.6901,,
Enbridge Inc.,2013,57568000000.0,39005000000.0,,,0.6775,,
Enbridge Inc.,2014,72857000000.0,51807000000.0,,,0.7111,,
Enbridge Inc.,2015,84515000000.0,62176000000.0,,,0.7357,,
Enbridge Inc.,2016,85209000000.0,59854000000.0,,,0.7024,,
Enbridge Inc.,2017,162093000000.0,92294000000.0,,,0.5694,,
Enbridge Inc.,2018,166905000000.0,93470000000.0,,,0.5600,,
Enbridge Inc.,2019,163157000000.0,93750000000.0,,,0.5746,,
Enbridge Inc.,2020,160276000000.0,95913000000.0,,,0.5984,,
Enbridge Inc.,2021,168864000000.0,105496000000.0,,,0.6247,,
Enbridge Inc.,2022,179608000000.0,116210000000.0,,,0.6470,,
Enbridge Inc.,2023,180317000000.0,115834000000.0,,,0.6424,,
Enbridge Inc.,2024,218973000000.0,150080000000.0,,,0.6854,,
Enbridge Inc.,2025,218475000000.0,152551000000.0,,,0.6983,,
Suncor Energy Inc.,2011,355486000.0,146040000.0,,,0.4108,,
Suncor Energy Inc.,2012,403788000.0,158787000.0,,,0.3932,,
Suncor Energy Inc.,2013,460203000.0,168013000.0,,,0.3651,,
Suncor Energy Inc.,2014,484941000.0,167896000.0,,,0.3462,,
Suncor Energy Inc.,2015,798991000.0,460845000.0,,,0.5768,,
Suncor Energy Inc.,2016,1147418000.0,611781000.0,,,0.5332,,
Suncor Energy Inc.,2017,1055835000.0,578661000.0,,,0.5481,,
Suncor Energy Inc.,2018,977821000.0,520721000.0,,,0.5325,,
Suncor Energy Inc.,2019,985217000.0,548547000.0,,,0.5568,,
Suncor Energy Inc.,2020,730975000.0,516372000.0,,,0.7064,,
Suncor Energy Inc.,2021,706544000.0,654677000.0,,,0.9266,,
Suncor Energy Inc.,2022,616645000.0,498885000.0,,,0.8090,,
Suncor Energy Inc.,2023,565744000.0,520148000.0,,,0.9194,,
Suncor Energy Inc.,2024,528365000.0,526627000.0,,,0.9967,,
Suncor Energy Inc.,2025,485453000.0,457983000.0,,,0.9434,,
TC Energy Corporation,2011,47338000000.0,29079000000.0,,,0.6143,,
TC Energy Corporation,2012,48333000000.0,30060000000.0,,,0.6219,,
TC Energy Corporation,2013,53898000000.0,33762000000.0,,,0.6264,,
TC Energy Corporation,2014,58525000000.0,37872000000.0,,,0.6471,,
TC Energy Corporation,2015,64398000000.0,46243000000.0,,,0.7181,,
TC Energy Corporation,2016,88051000000.0,60889000000.0,,,0.6915,,
TC Energy Corporation,2017,86101000000.0,59210000000.0,,,0.6877,,
TC Energy Corporation,2018,98920000000.0,67927000000.0,,,0.6867,,
TC Energy Corporation,2019,99279000000.0,66882000000.0,,,0.6737,,
TC Energy Corporation,2020,100300000000.0,66827000000.0,,,0.6663,,
TC Energy Corporation,2021,104218000000.0,70822000000.0,,,0.6796,,
TC Energy Corporation,2022,114348000000.0,80232000000.0,,,0.7016,,
TC Energy Corporation,2023,125034000000.0,86026000000.0,,,0.6880,,
TC Energy Corporation,2024,118243000000.0,79883000000.0,,,0.6756,,
TC Energy Corporation,2025,118751000000.0,81852000000.0,,,0.6893,,
Canadian Pacific Kansas City,2010,13676000000.0,8852000000.0,,,0.6473,,
Canadian Pacific Kansas City,2011,14110000000.0,9461000000.0,,,0.6705,,
Canadian Pacific Kansas City,2012,14727000000.0,9630000000.0,,,0.6539,,
Canadian Pacific Kansas City,2013,17060000000.0,9963000000.0,,,0.5840,,
Canadian Pacific Kansas City,2014,16550000000.0,10940000000.0,,,0.6610,,
Canadian Pacific Kansas City,2015,19637000000.0,14841000000.0,,,0.7558,,
Canadian Pacific Kansas City,2016,19221000000.0,14595000000.0,,,0.7593,,
Canadian Pacific Kansas City,2017,20135000000.0,13698000000.0,,,0.6803,,
Canadian Pacific Kansas City,2018,21254000000.0,14618000000.0,,,0.6878,,
Canadian Pacific Kansas City,2019,22367000000.0,15298000000.0,,,0.6840,,
Canadian Pacific Kansas City,2020,23640000000.0,16321000000.0,,,0.6904,,
Canadian Pacific Kansas City,2021,68177000000.0,34348000000.0,,,0.5038,,
Canadian Pacific Kansas City,2022,73495000000.0,34609000000.0,,,0.4709,,
Canadian Pacific Kansas City,2023,79902000000.0,37491000000.0,,,0.4692,,
Canadian Pacific Kansas City,2024,87744000000.0,38854000000.0,,,0.4428,,
Canadian Pacific Kansas City,2025,85945000000.0,39120000000.0,,,0.4552,,
Shopify Inc.,2015,243712000.0,,,,,,
Shopify Inc.,2016,490558000.0,,,,,,
Shopify Inc.,2017,1113564000.0,,,,,,
Shopify Inc.,2018,2254785000.0,,,,,,
Shopify Inc.,2019,3489479000.0,,,,,,
Shopify Inc.,2020,7762905000.0,,,,,,
Shopify Inc.,2021,13340172000.0,,,,,,
Shopify Inc.,2022,10757000000.0,,,,,,
Shopify Inc.,2023,11299000000.0,,,,,,
Shopify Inc.,2024,13924000000.0,,,,,,
Shopify Inc.,2025,15189000000.0,,,,,,
Barrick Gold Corporation,2010,32241000000.0,27834000000.0,,,0.8633,,
Barrick Gold Corporation,2011,35838000000.0,31281000000.0,,,0.8728,,
Barrick Gold Corporation,2012,39171000000.0,34423000000.0,,,0.8788,,
Barrick Gold Corporation,2013,42087000000.0,37318000000.0,,,0.8867,,
Barrick Gold Corporation,2014,47513000000.0,42481000000.0,,,0.8941,,
Barrick Gold Corporation,2015,49837000000.0,45067000000.0,,,0.9043,,
Barrick Gold Corporation,2016,55072000000.0,50153000000.0,,,0.9107,,
Barrick Gold Corporation,2017,60658000000.0,55324000000.0,,,0.9121,,
Barrick Gold Corporation,2018,63456000000.0,58484000000.0,,,0.9216,,
Barrick Gold Corporation,2019,70130000000.0,63861000000.0,,,0.9106,,
Barrick Gold Corporation,2020,73710000000.0,66921000000.0,,,0.9079,,
Barrick Gold Corporation,2021,28931000000.0,23919000000.0,,,0.8268,,
Barrick Gold Corporation,2022,28831000000.0,24779000000.0,,,0.8595,,
Barrick Gold Corporation,2023,29787000000.0,25529000000.0,,,0.8571,,
Barrick Gold Corporation,2024,30836000000.0,26370000000.0,,,0.8552,,
Barrick Gold Corporation,2025,32642000000.0,27822000000.0,,,0.8523,,
Barrick Gold Corporation,2009,27683000000.0,23764000000.0,,,0.8584,,
Teck Resources Limited,2010,4256363000.0,3549485000.0,,,0.8339,,
Teck Resources Limited,2011,4785945000.0,4026607000.0,,,0.8413,,
Teck Resources Limited,2012,4906335000.0,4142327000.0,,,0.8443,,
Teck Resources Limited,2013,7161582000.0,6108333000.0,,,0.8529,,
Teck Resources Limited,2014,8578846000.0,7350671000.0,,,0.8568,,
Teck Resources Limited,2015,8951697000.0,7709569000.0,,,0.8612,,
Teck Resources Limited,2016,9509607000.0,8258595000.0,,,0.8684,,
Teck Resources Limited,2017,12716886000.0,10766964000.0,,,0.8467,,
Teck Resources Limited,2018,13095145000.0,11061496000.0,,,0.8447,,
Teck Resources Limited,2019,14079524000.0,11919562000.0,,,0.8466,,
Teck Resources Limited,2020,16584779000.0,14237172000.0,,,0.8584,,
Teck Resources Limited,2021,20945333000.0,18356591000.0,,,0.8764,,
Teck Resources Limited,2022,31848639000.0,29368813000.0,,,0.9221,,
Teck Resources Limited,2023,52173596000.0,47178562000.0,,,0.9043,,
Teck Resources Limited,2024,51576000000.0,46458000000.0,,,0.9008,,
Teck Resources Limited,2025,66832000000.0,58992000000.0,,,0.8827,,
Fortis Inc.,2017,11624400000.0,,,,,,
Fortis Inc.,2018,25598100000.0,,,,,,
Fortis Inc.,2019,25975900000.0,,,,,,
Fortis Inc.,2020,27114800000.0,,,,,,
Fortis Inc.,2021,28520500000.0,,,,,,
Fortis Inc.,2022,29489900000.0,,,,,,
Fortis Inc.,2023,30976100000.0,,,,,,
Fortis Inc.,2024,32282100000.0,,,,,,
Fortis Inc.,2025,33948500000.0,,,,,,
Hydro One Limited,2019,31255500000.0,19371700000.0,,,0.6198,,
Hydro One Limited,2020,61553000000.0,38598900000.0,,,0.6271,,
Hydro One Limited,2021,54842800000.0,34350100000.0,,,0.6263,,
Hydro One Limited,2022,50022200000.0,28949900000.0,,,0.5787,,
Hydro One Limited,2023,47685500000.0,27218100000.0,,,0.5708,,
Hydro One Limited,2024,41500900000.0,22865400000.0,,,0.5510,,
Hydro One Limited,2025,37193100000.0,22481800000.0,,,0.6045,,
Loblaw Companies Limited,2010,2289700000.0,860500000.0,,,0.3758,,
Loblaw Companies Limited,2011,2380500000.0,921500000.0,,,0.3871,,
Loblaw Companies Limited,2012,2328600000.0,984000000.0,,,0.4226,,
Loblaw Companies Limited,2013,2752000000.0,1084700000.0,,,0.3941,,
Loblaw Companies Limited,2014,2771900000.0,1601200000.0,,,0.5777,,
Loblaw Companies Limited,2015,3492700000.0,1707700000.0,,,0.4889,,
Loblaw Companies Limited,2016,15901200000.0,11494300000.0,,,0.7229,,
Loblaw Companies Limited,2017,15701600000.0,10312100000.0,,,0.6568,,
Loblaw Companies Limited,2018,16332800000.0,9150500000.0,,,0.5603,,
Loblaw Companies Limited,2019,13501200000.0,7858300000.0,,,0.5820,,
Loblaw Companies Limited,2020,19574600000.0,13319800000.0,,,0.6805,,
Loblaw Companies Limited,2021,20696000000.0,13410700000.0,,,0.6480,,
Loblaw Companies Limited,2022,21721800000.0,14003300000.0,,,0.6447,,
Loblaw Companies Limited,2023,23022100000.0,14270600000.0,,,0.6199,,
Loblaw Companies Limited,2024,22023500000.0,14710400000.0,,,0.6679,,
Loblaw Companies Limited,2025,18644000000.0,14666600000.0,,,0.7867,,
Loblaw Companies Limited,2026,13466200000.0,9711300000.0,,,0.7212,,
George Weston Limited,2010,1237227000.0,,,,,,
George Weston Limited,2011,1268148000.0,,,,,,
George Weston Limited,2012,1682055000.0,,,,,,
George Weston Limited,2013,1669531000.0,,,,,,
George Weston Limited,2014,1791067000.0,,,,,,
George Weston Limited,2015,1788442000.0,,,,,,
George Weston Limited,2016,1874649000.0,,,,,,
George Weston Limited,2017,2046877000.0,,,,,,
George Weston Limited,2018,2161033000.0,,,,,,
