"company_name","fiscal_year","revenue","prior_revenue","revenue_growth_pct"
Agnico Eagle Mines Limited,2016,2138232000.0,,
Agnico Eagle Mines Limited,2017,2242604000.0,2138232000.0,4.88
Agnico Eagle Mines Limited,2018,2191221000.0,2242604000.0,-2.29
Agnico Eagle Mines Limited,2019,2494892000.0,2191221000.0,13.86
Agnico Eagle Mines Limited,2020,3138113000.0,2494892000.0,25.78
Agnico Eagle Mines Limited,2021,3869625000.0,3138113000.0,23.31
Agnico Eagle Mines Limited,2022,5741162000.0,3869625000.0,48.36
Agnico Eagle Mines Limited,2023,6626909000.0,5741162000.0,15.43
Agnico Eagle Mines Limited,2024,8285753000.0,6626909000.0,25.03
Agnico Eagle Mines Limited,2025,11907851000.0,8285753000.0,43.71
Bank of Montreal,2016,21087000000,,
Bank of Montreal,2017,22107000000,21087000000,4.84
Bank of Montreal,2018,22905000000,22107000000,3.61
Bank of Montreal,2019,25483000000,22905000000,11.26
Bank of Montreal,2020,25186000000,25483000000,-1.17
Bank of Montreal,2021,27186000000,25186000000,7.94
Bank of Montreal,2022,33710000000,27186000000,24.00
Bank of Montreal,2023,29259000000,33710000000,-13.20
Bank of Montreal,2024,32795000000,29259000000,12.09
Bank of Montreal,2025,36274000000,32795000000,10.61
Bank of Nova Scotia,2016,26350000000,,
Bank of Nova Scotia,2017,27155000000,26350000000,3.06
Bank of Nova Scotia,2018,28775000000,27155000000,5.97
Bank of Nova Scotia,2019,31034000000,28775000000,7.85
Bank of Nova Scotia,2020,31336000000,31034000000,0.97
Bank of Nova Scotia,2021,31252000000,31336000000,-0.27
Bank of Nova Scotia,2022,31416000000,31252000000,0.52
Bank of Nova Scotia,2023,32214000000,31416000000,2.54
Bank of Nova Scotia,2024,33670000000,32214000000,4.52
Bank of Nova Scotia,2025,37741000000,33670000000,12.09
Barrick Gold Corporation,2008,4293000000.0,,
Barrick Gold Corporation,2009,4320000000.0,4293000000.0,0.63
Barrick Gold Corporation,2010,1255000000.0,4320000000.0,-70.95
Barrick Gold Corporation,2011,1039000000.0,1255000000.0,-17.21
Barrick Gold Corporation,2012,1124000000.0,1039000000.0,8.18
Barrick Gold Corporation,2013,1139000000.0,1124000000.0,1.33
Barrick Gold Corporation,2014,1581000000.0,1139000000.0,38.81
Barrick Gold Corporation,2015,1297000000.0,1581000000.0,-17.96
Barrick Gold Corporation,2016,1475000000.0,1297000000.0,13.72
Barrick Gold Corporation,2017,1835000000.0,1475000000.0,24.41
Barrick Gold Corporation,2018,1833000000.0,1835000000.0,-0.11
Barrick Gold Corporation,2019,2123000000.0,1833000000.0,15.82
Barrick Gold Corporation,2020,2060000000.0,2123000000.0,-2.97
Barrick Gold Corporation,2021,6552000000.0,2060000000.0,218.06
Barrick Gold Corporation,2022,7040000000.0,6552000000.0,7.45
Barrick Gold Corporation,2023,7827000000.0,7040000000.0,11.18
Barrick Gold Corporation,2024,8324000000.0,7827000000.0,6.35
Barrick Gold Corporation,2025,8174000000.0,8324000000.0,-1.80
CAE Inc.,2017,2704500000,,
CAE Inc.,2018,2823500000,2704500000,4.40
CAE Inc.,2019,3304100000,2823500000,17.02
CAE Inc.,2020,3623200000,3304100000,9.66
CAE Inc.,2021,2981900000,3623200000,-17.70
CAE Inc.,2022,3371300000,2981900000,13.06
CAE Inc.,2023,4010600000,3371300000,18.96
CAE Inc.,2024,4282800000,4010600000,6.79
CAE Inc.,2025,4707900000,4282800000,9.93
Canadian Natural Resources Limited,2010,3520408.0,,
Canadian Natural Resources Limited,2011,3508804.0,3520408.0,-0.33
Canadian Natural Resources Limited,2012,3835893.0,3508804.0,9.32
Canadian Natural Resources Limited,2013,1985976.0,3835893.0,-48.23
Canadian Natural Resources Limited,2014,4005856.0,1985976.0,101.71
Canadian Natural Resources Limited,2015,5261225.0,4005856.0,31.34
Canadian Natural Resources Limited,2016,2975756.0,5261225.0,-43.44
Canadian Natural Resources Limited,2017,6302984.0,2975756.0,111.81
Canadian Pacific Kansas City,2009,4402000000.0,,
Canadian Pacific Kansas City,2010,4981000000.0,4402000000.0,13.15
Canadian Pacific Kansas City,2011,5177000000.0,4981000000.0,3.93
Canadian Pacific Kansas City,2012,5695000000.0,5177000000.0,10.01
Canadian Pacific Kansas City,2013,6133000000.0,5695000000.0,7.69
Canadian Pacific Kansas City,2014,1509000000.0,6133000000.0,-75.40
Canadian Pacific Kansas City,2015,1651000000.0,1509000000.0,9.41
Canadian Pacific Kansas City,2016,1554000000.0,1651000000.0,-5.88
Canadian Pacific Kansas City,2017,1603000000.0,1554000000.0,3.15
Canadian Pacific Kansas City,2018,1898000000.0,1603000000.0,18.40
Canadian Pacific Kansas City,2019,1979000000.0,1898000000.0,4.27
